"","Country","Attribution","Type","iso3c","year_enforcement","Temp","drop","Ques_1","Ques_10","Ques_11","Ques_12","Ques_13","Ques_15","Ques_17","Ques_19","Ques_2","Ques_23","Ques_25","Ques_26","Ques_29","Ques_3","Ques_30","Ques_31","Ques_33","Ques_35","Ques_36","Ques_37","Ques_38","Ques_39","Ques_4","Ques_41","Ques_43","Ques_5","Ques_6","Ques_7","Ques_8","Ques_9"
"1","Argentina","Código Electoral Nacional, Ley 19.945; Decreto 2135, December 2009 (Electoral Law)","Printed source","ARG",2009,"temp_1",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Argentina","Código Electoral Nacional, Ley 19.945; Decreto 2135, December 2009 (Electoral Law)","Printed source","ARG",2009,"temp_2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Argentina","Código Electoral Nacional, Ley 19.945; Decreto 2135, December 2009 (Electoral Law)","Printed source","ARG",2009,"temp_3",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"4","Argentina","Cost of Democracy: Essays on Political Finance in Latin America. International IDEA: 2016.",NA,"ARG",2016,"temp_1",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Argentina","Cost of Democracy: Essays on Political Finance in Latin America. International IDEA. 2016.",NA,"ARG",2016,"temp_1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6","Argentina","Expert input provided by Delia Ferreira Rubio, Independent Consultant; International Board of Transparency International, October 2011","Expert","ARG",2011,"temp_1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Argentina","Expert input provided by Delia Ferreira Rubio, Independent Consultant; International Board of Transparency International, October 2011","Expert","ARG",2011,"temp_2",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"8","Argentina","Expert input provided by Delia Ferreira Rubio, Independent Consultant; International Board of Transparency International, October 2011","Expert","ARG",2011,"temp_3",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Argentina","Expert input provided by Delia Ferreira Rubio, Independent Consultant; International Board of Transparency International, October 2011","Expert","ARG",2011,"temp_4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10","Argentina","Expert input provided by Delia Ferreira Rubio, Independent Consultant; International Board of Transparency International, October 2011","Expert","ARG",2011,"temp_5",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Argentina","Expert input provided by Delia Ferreira Rubio, Independent Consultant; International Board of Transparency International, October 2011","Expert","ARG",2011,"temp_6",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12","Argentina","Expert input provided by Delia Ferreira Rubio, Independent Consultant; International Board of Transparency International, October 2011","Expert","ARG",2011,"temp_7",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
